area,feeder,PEANO
N1,NIA06,5600027001
N1,NIA06,20442906
N1,NIA06,5800972953
N1,NIA06,23436434
N1,NIA06,5600060502
N1,NIA06,6001460647
N1,NIA06,29072749
N1,NIA06,6001460618
N1,NIA06,24037913
N1,NIA06,24179011
N1,NIA06,20442939
N1,NIA06,5800264173
N1,NIA06,5800254674
N1,NIA06,21146284
N1,NIA06,24260983
N1,NIA06,21346589
N1,NIA06,24037474
N1,NIA06,24861360
N1,NIA06,20542501
N1,NIA06,19348838
N1,NIA06,21572016
N1,NIA06,28021888
N1,NIA06,24104091
N1,NIA06,20166732
N1,NIA06,16996468
N1,NIA06,16804346
N1,NIA06,D574011
N1,NIA06,14222099
N1,NIA06,29812891
N1,NIA06,20442932
N1,NIA06,21470577
N1,NIA06,6000265706
N1,NIA06,23980027
N1,NIA06,5900708965
N1,NIA06,19431829
N1,NIA06,5800448834
N1,NIA06,20192719
N1,NIA06,27379450
N1,NIA06,5600060611
N1,NIA06,18245032
N1,NIA06,29080012
N1,NIA06,5700509059
N1,NIA06,29124654
N1,NIA06,24179085
N1,NIA06,5800448833
N1,NIA06,17114427
N1,NIA06,6000266241
N1,NIA06,24179086
N1,NIA06,5900918946
N1,NIA06,19009882
N1,NIA06,29079938
N1,NIA06,21870168
N1,NIA06,6000025273
N1,NIA06,20492571
N1,NIA06,22352895
N1,NIA06,23815629
N1,NIA06,21745538
N1,NIA06,20542511
N1,NIA06,29809796
N1,NIA06,16428060
N1,NIA06,24749228
N1,NIA06,27705242
N1,NIA06,19060962
N1,NIA06,21095443
N1,NIA06,21745653
N1,NIA06,29078699
N1,NIA06,19684594
N1,NIA06,23891643
N1,NIA06,17504091
N1,NIA06,6000265705
N1,NIA06,19809185
N1,NIA06,6001353609
N1,NIA06,22007400
N1,NIA06,27703351
N1,NIA06,25700837
N1,NIA06,5900904124
N1,NIA06,24861350
N1,NIA06,5800665002
N1,NIA06,5800264167
N1,NIA06,5800448860
N1,NIA06,16926274
N1,NIA06,19348759
N1,NIA06,20291752
N1,NIA06,20839804
N1,NIA06,5700533781
N1,NIA06,16882663
N1,NIA06,20166734
N1,NIA06,5600027026
N1,NIA06,22912371
N1,NIA06,22934854
N1,NIA06,18007196
N1,NIA06,21346420
N1,NIA06,5800255895
N1,NIA06,6001460675
N1,NIA06,6001460690
N1,NIA06,28632031
N1,NIA06,5600027377
N1,NIA06,20587051
N1,NIA06,19479406
N1,NIA06,24552881
N1,NIA06,5700257980
N1,NIA06,24037529
N1,NIA06,17927516
N1,NIA06,28569802
N1,NIA06,20192718
N1,NIA06,6001460621
N1,NIA06,21927015
N1,NIA06,6001353648
N1,NIA06,23428930
N1,NIA06,19348777
N1,NIA06,17504263
N1,NIA06,20442905
N1,NIA06,22912508
N1,NIA06,5901006147
N1,NIA06,6001460600
N1,NIA06,24552885
N1,NIA06,20382102
N1,NIA06,18152086
N1,NIA06,18587117
N1,NIA06,C825086
N1,NIA06,20518089
N1,NIA06,C952822
N1,NIA06,25788707
N1,NIA06,17415515
N1,NIA06,19202549
N1,NIA06,5700258555
N1,NIA06,5700258529
N1,NIA06,21986010
N1,NIA06,20646846
N1,NIA06,23147864
N1,NIA06,5800665147
N1,NIA06,21345767
N1,NIA06,6000341079
N1,NIA06,23270189
N1,NIA06,20418965
N1,NIA06,18649655
N1,NIA06,20166733
N1,NIA06,6100545809
N1,NIA06,21796570
N1,NIA06,C824383
N1,NIA06,5801101328
N1,NIA06,5800367883
